tag,kernel_id,block_id,sm_id,t_launch,t_dep_satisfied,t_end
chain6,3,53,7,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,54,22,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,55,23,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,56,38,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,57,39,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,58,54,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,59,55,1785763899514994720,1785763899515504736,1785763899516013920
chain6,3,60,70,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,61,71,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,62,84,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,63,85,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,64,98,1785763899514994720,1785763899515504736,1785763899516013888
chain6,3,65,99,1785763899514994720,1785763899515504736,1785763899516013888
chain6,3,66,112,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,67,113,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,68,126,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,69,127,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,70,8,1785763899514994592,1785763899515504704,1785763899516014144
chain6,3,71,9,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,72,24,1785763899514994592,1785763899515504704,1785763899516014144
chain6,3,73,25,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,74,40,1785763899514994592,1785763899515504704,1785763899516014144
chain6,3,75,41,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,76,56,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,77,57,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,78,72,1785763899514994592,1785763899515504704,1785763899516014144
chain6,3,79,73,1785763899514994592,1785763899515504704,1785763899516014144
chain6,3,80,86,1785763899514994592,1785763899515504704,1785763899516014144
chain6,3,81,87,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,82,100,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,83,101,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,84,114,1785763899514994592,1785763899515504704,1785763899516014144
chain6,3,85,115,1785763899514994624,1785763899515504704,1785763899516014144
chain6,3,86,128,1785763899514994592,1785763899515504704,1785763899516014144
chain6,3,87,129,1785763899514994624,1785763899515504704,1785763899516014144
